Date,Open,High,Low,Close,Adj Close,Volume,
9/17/2014,116.4660034,117.0435028,113.1054993,114.3335037,114.3335037,21056800,
9/18/2014,114.2149963,114.2149963,103.276001,106.1100006,106.1100006,34483200,
9/19/2014,106.0257492,106.9587479,96.13300323,98.6989975,98.6989975,37919700,
9/20/2014,98.66825104,105.8239975,97.4707489,102.2259979,102.2259979,36863600,
9/21/2014,102.0212479,103.1064987,98.29524994,99.7052536,99.7052536,26580100,
9/22/2014,99.77500153,101.7289963,99.28250122,100.538002,100.538002,24127600,
9/23/2014,100.5230026,110.3892517,99.04924774,108.9477463,108.9477463,45099500,
9/24/2014,108.9377518,109.0279999,105.2829971,105.8012466,105.8012466,30627700,
9/25/2014,105.7890015,105.8799973,102.3669968,102.8935013,102.8935013,26814400,
9/26/2014,102.8572464,103.7344971,100.0022507,101.1062469,101.1062469,21460800,
9/27/2014,100.8889999,101.6557465,99.34300232,99.87999725,99.87999725,15029300,
9/28/2014,99.86775208,100.2542496,93.58300018,94.29524994,94.29524994,23613300,
9/29/2014,94.23200226,96.30274963,93.05999756,93.86675262,93.86675262,32497700,
9/30/2014,94.02200317,97.74424744,93.36074829,96.73600006,96.73600006,34707300,
10/1/2014,96.85675049,97.84474945,95.19499969,95.90374756,95.90374756,26229400,
10/2/2014,95.99700165,96.37425232,93.2365036,93.76799774,93.76799774,21777700,
10/3/2014,93.79524994,94.42375183,89.4647522,89.87799835,89.87799835,30901200,
10/4/2014,89.97299957,91.12174988,81.47149658,82.21649933,82.21649933,47236500,
10/5/2014,82.22899628,85.45024872,72.3239975,80.12750244,80.12750244,83308096,
10/6/2014,80.09725189,86.28350067,75.63999939,82.5197525,82.5197525,79011800,
10/7/2014,82.64600372,84.81175232,80.12049866,84.04675293,84.04675293,49199900,
10/8/2014,84.02899933,88.59100342,81.79699707,88.23500061,88.23500061,54736300,
10/9/2014,88.18699646,95.6815033,86.92175293,91.25650024,91.25650024,83641104,
10/10/2014,91.17175293,93.76674652,88.24075317,90.39050293,90.39050293,43665700,
10/11/2014,90.34049988,91.79775238,88.98774719,90.57475281,90.57475281,13345200,
10/12/2014,90.65149689,94.85825348,89.03600311,94.63725281,94.63725281,17552800,
10/13/2014,94.4802475,99.3065033,92.22425079,97.60350037,97.60350037,35221400,
10/14/2014,97.92299652,102.9244995,97.83100128,100.2174988,100.2174988,38491500,
10/15/2014,100.2387466,100.5567474,97.1914978,98.69325256,98.69325256,25267100,
10/16/2014,98.62950134,99.70175171,93.26750183,95.63899994,95.63899994,26990000,
10/17/2014,95.68900299,96.36949921,93.84725189,95.9394989,95.9394989,13600700,
10/18/2014,95.9940033,98.78949738,94.74275208,97.86049652,97.86049652,11416800,
10/19/2014,97.81349945,98.48474884,96.61425018,97.3864975,97.3864975,5914570,
10/20/2014,97.30774689,97.52100372,94.56300354,95.71125031,95.71125031,16419000,
10/21/2014,95.6052475,98.16149902,95.20850372,96.61875153,96.61875153,14188900,
10/22/2014,96.52950287,97.14399719,95.56224823,95.78949738,95.78949738,11641300,
10/23/2014,95.7405014,96.26200104,89.11174774,89.60424805,89.60424805,26456900,
10/24/2014,89.64775085,91.08625031,88.32624817,89.58625031,89.58625031,15585700,
10/25/2014,89.65274811,89.96524811,85.71925354,86.81774902,86.81774902,18127500,
